,symbol,priceChangePercent,openPrice,highPrice,lowPrice,count
331,XRPBNB,-1.844,0.00200700,0.00201700,0.00194900,1859
332,TUSDUSDT,-0.010,1.00000000,1.00030000,0.99920000,88616
333,IOTAUSDT,1.380,0.31150000,0.32920000,0.28760000,140121
334,XLMUSDT,3.191,0.13160000,0.13850000,0.12680000,57265
335,IOTXBTC,0.000,0.00000118,0.00000121,0.00000114,2406
336,IOTXETH,1.722,0.00002149,0.00002199,0.00002095,1232
337,QKCBTC,-3.704,0.00000027,0.00000027,0.00000025,1383
338,QKCETH,-2.537,0.00000473,0.00000479,0.00000461,156
339,AGIBTC,0.000,0.00000000,0.00000000,0.00000000,0
340,AGIETH,0.000,0.00000000,0.00000000,0.00000000,0
341,AGIBNB,0.000,0.00000000,0.00000000,0.00000000,0
342,NXSBTC,0.000,0.00000000,0.00000000,0.00000000,0
343,NXSETH,0.000,0.00000000,0.00000000,0.00000000,0
344,NXSBNB,0.000,0.00000000,0.00000000,0.00000000,0
345,ENJBNB,0.000,0.00000000,0.00000000,0.00000000,0
346,DATABTC,-3.361,0.00000119,0.00000128,0.00000113,4171
347,DATAETH,0.000,0.00000000,0.00000000,0.00000000,0
348,ONTUSDT,-2.830,0.25090000,0.25200000,0.23790000,10028
349,TRXBNB,-0.950,0.00033700,0.00034120,0.00033260,1826
350,TRXUSDT,-0.610,0.10661000,0.10719000,0.10476000,125643
351,ETCUSDT,-3.352,23.27000000,23.48000000,21.80000000,89322
352,ETCBNB,-3.533,0.07360000,0.07460000,0.07040000,480
353,ICXUSDT,-5.015,0.26720000,0.26760000,0.24870000,17537
354,SCBTC,0.000,0.00000000,0.00000000,0.00000000,0
355,SCETH,0.346,0.00000289,0.00000296,0.00000287,452
356,NPXSBTC,0.000,0.00000000,0.00000000,0.00000000,0
357,NPXSETH,0.000,0.00000000,0.00000000,0.00000000,0
358,VENUSDT,0.000,0.00000000,0.00000000,0.00000000,0
359,KEYBTC,0.000,0.00000000,0.00000000,0.00000000,0
360,KEYETH,0.000,0.00000000,0.00000000,0.00000000,0
361,NASBTC,0.000,0.00000000,0.00000000,0.00000000,0
362,NASETH,0.000,0.00000000,0.00000000,0.00000000,0
363,NASBNB,0.000,0.00000000,0.00000000,0.00000000,0
364,MFTBTC,0.000,0.00000000,0.00000000,0.00000000,0
365,MFTETH,0.000,0.00000000,0.00000000,0.00000000,0
366,MFTBNB,0.000,0.00000000,0.00000000,0.00000000,0
367,DENTBTC,0.000,0.00000000,0.00000000,0.00000000,0
368,DENTETH,-3.448,0.00000058,0.00000061,0.00000056,1253
369,ARDRBTC,-0.427,0.00000234,0.00000236,0.00000232,1737
370,ARDRETH,0.000,0.00000000,0.00000000,0.00000000,0
371,ARDRBNB,0.000,0.00000000,0.00000000,0.00000000,0
372,NULSUSDT,-3.651,0.27660000,0.27900000,0.26210000,4685
373,HOTBTC,0.000,0.00000000,0.00000000,0.00000000,0
374,HOTETH,0.935,0.00000107,0.00000120,0.00000106,4053
375,VETBTC,-4.706,0.00000085,0.00000085,0.00000081,3182
376,VETETH,-1.118,0.00001521,0.00001530,0.00001492,1053
377,VETUSDT,-4.208,0.03612000,0.03618000,0.03383000,57880
378,VETBNB,-4.474,0.00011400,0.00011420,0.00010770,425
379,DOCKBTC,-1.818,0.00000055,0.00000055,0.00000053,422
380,DOCKETH,0.000,0.00000000,0.00000000,0.00000000,0
381,POLYBTC,0.000,0.00000000,0.00000000,0.00000000,0
382,POLYBNB,0.000,0.00000000,0.00000000,0.00000000,0
383,PHXBTC,0.000,0.00000000,0.00000000,0.00000000,0
384,PHXETH,0.000,0.00000000,0.00000000,0.00000000,0
385,PHXBNB,0.000,0.00000000,0.00000000,0.00000000,0
386,HCBTC,0.000,0.00000000,0.00000000,0.00000000,0
387,HCETH,0.000,0.00000000,0.00000000,0.00000000,0
388,GOBTC,0.000,0.00000000,0.00000000,0.00000000,0
389,GOBNB,0.000,0.00000000,0.00000000,0.00000000,0
390,PAXBTC,0.000,0.00000000,0.00000000,0.00000000,0
391,PAXBNB,0.000,0.00000000,0.00000000,0.00000000,0
392,PAXUSDT,0.000,0.00000000,0.00000000,0.00000000,0
